title,authors,link,abstract,date,tags
Evaluation of Automatic GPU and FPGA Offloading for Function Blocks of Applications,['Yoji Yamato'],https://arxiv.org/pdf/2005.04174,"In the recent years, systems using FPGAs, GPUs have increased due to their advantages such as power efficiency compared to CPUs. However, use in systems such as FPGAs and GPUs requires understanding hardware-specific technical specifications such as HDL and CUDA, which is a high hurdle. Based on this background, I previously proposed environment adaptive software that enables automatic conversion,…",2020-03-09,['cs.DC']
Hybrid Machine Learning Models for Crop Yield Prediction,"['Saeed Nosratabadi', 'Felde Imre', 'Karoly Szell', 'Sina Ardabili', 'Bertalan Beszedes', 'Amir Mosavi']",https://arxiv.org/pdf/2005.04155,"Prediction of crop yield is essential for food security policymaking, planning, and trade. The objective of the current study is to propose novel crop yield prediction models based on hybrid machine learning methods. In this study, the performance of the artificial neural networks-imperialist competitive algorithm (ANN-ICA) and artificial neural networks-gray wolf optimizer (ANN-GWO) models for th…",2020-03-08,"['cs.NE', 'cs.LG', 'stat.ML']"
High Performance Interference Suppression in Multi-User Massive MIMO Detector,"['Andrey Ivanov', 'Alexander Osinsky', 'Dmitry Lakontsev', 'Dmitry Yarotsky']",https://arxiv.org/pdf/2005.03466,"In this paper, we propose a new nonlinear detector with improved interference suppression in Multi-User Multiple Input, Multiple Output (MU-MIMO) system. The proposed detector is a combination of the following parts: QR decomposition (QRD), low complexity users sorting before QRD, sorting-reduced (SR) K-best method and minimum mean square error (MMSE) pre-processing. Our method outperforms a linea…",2020-03-20,"['cs.OH', 'cs.IT', 'eess.SP']"
Near-optimal Detector for SWIPT-enabled Differential DF Relay Networks with SER Analysis,"['Yuxin Lu', 'Wai Ho Mow']",https://arxiv.org/pdf/2005.03096,"In this paper, we analyze the symbol error rate (SER) performance of the simultaneous wireless information and power transfer (SWIPT) enabled three-node differential decode-and-forward (DDF) relay networks, which adopt the power splitting (PS) protocol at the relay. The use of non-coherent differential modulation eliminates the need for sending training symbols to estimate the instantaneous channe…",2020-03-17,"['cs.IT', 'cs.PF']"
Robust Trajectory and Transmit Power Optimization for Secure UAV-Enabled Cognitive Radio Networks,"['Yifan Zhou', 'Fuhui Zhou', 'Huilin Zhou', 'Derrick Wing Kwan Ng', 'Rose Qingyang Hu']",https://arxiv.org/pdf/2005.03091,"Cognitive radio is a promising technology to improve spectral efficiency. However, the secure performance of a secondary network achieved by using physical layer security techniques is limited by its transmit power and channel fading. In order to tackle this issue, a cognitive unmanned aerial vehicle (UAV) communication network is studied by exploiting the high flexibility of a UAV and the possibi…",2020-03-08,"['cs.IT', 'eess.SP']"
Detecting and Healing Area Coverages Holes in homogeneous Wireless Sensor Network: Survey,"['Rababah Baha', 'Saha Ullash']",https://arxiv.org/pdf/2005.02492,"This paper presents Area coverage of homogenous wireless sensor network using computational geometry. The concepts related to both coverage wireless sensor network and computational geometry have been introduced. Then, the problem has been formulated. After that, current proposed algorithms of hole detection and healing have been investigated and discussed. This survey has two aims: firstly, to ex…",2020-03-24,['cs.NI']
Deep Learning for Frame Error Prediction using a DARPA Spectrum Collaboration Challenge (SC2) Dataset,"['Xiwen Zhang', 'Abu Shafin Mohammad Mahdee Jameel', 'Ahmed P. Mohamed', 'Aly El Gamal']",https://arxiv.org/pdf/2005.01446,"We demonstrate a first example for employing deep learning in predicting frame errors for a Collaborative Intelligent Radio Network (CIRN) using a dataset collected during participation in the final scrimmages of the DARPA SC2 challenge. Four scenarios are considered based on randomizing or fixing the strategy for bandwidth and channel allocation, and either training and testing with different lin…",2020-03-22,"['eess.SP', 'cs.LG', 'stat.ML']"
Optimal Scheduling of Age-centric Caching: Tractability and Computation,"['Ghafour Ahani', 'Di Yuan']",https://arxiv.org/pdf/2005.00445,"The notion of age of information (AoI) has become an important performance metric in network and control systems. Information freshness, represented by AoI, naturally arises in the context of caching. We address optimal scheduling of cache updates for a time-slotted system where the contents vary in size. There is limited capacity for the cache and for making content updates. Each content is assoc…",2020-03-20,['cs.DC']
BERT Fine-tuning For Arabic Text Summarization,"['Khalid N. Elmadani', 'Mukhtar Elgezouli', 'Anas Showk']",https://arxiv.org/pdf/2004.14135,"Fine-tuning a pretrained BERT model is the state of the art method for extractive/abstractive text summarization, in this paper we showcase how this fine-tuning method can be applied to the Arabic language to both construct the first documented model for abstractive Arabic text summarization and show its performance in Arabic extractive summarization. Our model works with multilingual BERT (as Ara…",2020-03-29,"['cs.CL', 'cs.LG']"
"Low resource language dataset creation, curation and classification: Setswana and Sepedi -- Extended Abstract","['Vukosi Marivate', 'Tshephisho Sefara', 'Vongani Chabalala', 'Keamogetswe Makhaya', 'Tumisho Mokgonyane', 'Rethabile Mokoena', 'Abiodun Modupe']",https://arxiv.org/pdf/2004.13842,"The recent advances in Natural Language Processing have only been a boon for well represented languages, negating research in lesser known global languages. This is in part due to the availability of curated data and research resources. One of the current challenges concerning low-resourced languages are clear guidelines on the collection, curation and preparation of datasets for different use-cas…",2020-03-30,['cs.CL']
